College,Program,Price (Dhs/Year)
College of Health Sciences,Médecine Dentaire,"110,000"
College of Health Sciences,Médecine,"120,000"
College of Health Sciences,Infirmier Polyvalent,"26,000"
College of Health Sciences,Infirmier en Anesthésie et Réanimation,"26,000"
College of Health Sciences,Licence en Nutrition et Diététique,"62,000"
College of Health Sciences,Technicien d’Imagerie Médicale,"26,000"
College of Health Sciences,Technicien de Laboratoire,"26,000"
College of Health Sciences,Licence en Biotechnologie et Sciences de la Santé,"62,000"
College of Health Sciences,Génie Biomédical,"62,000"
College of Health Sciences,Masters,"62,000"
College of Engineering & Architecture,Ingénierie Aérospatiale & Automobile,"66,000"
College of Engineering & Architecture,Ingénierie de l’Énergie,"66,000"
College of Engineering & Architecture,Ingénierie Informatique,"66,000"
College of Engineering & Architecture,Ingénierie Génie Civil,"66,000"
College of Engineering & Architecture,Architecture,"85,000"
College of Engineering & Architecture,Masters,"62,000"
